Licence No,Licence Category,Trading As,Address,Suburb,Postcode,Postal Address,Postal Suburb,Postal Postcode,Council Name,Licensee,
31917315,Late night (general) Licence,GRAND HYATT MELBOURNE,123 COLLINS STREET,MELBOURNE,3000,123 COLLINS STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,G H OPERATIONS PTY LTD,
31917323,Late night (general) Licence,LANGWARRIN HOTEL,CNR UNION & CRANBOURNE ROADS,LANGWARRIN,3910,PO BOX 4288,LANGWARRIN,3910,FRANKSTON CITY COUNCIL,BERETTA'S LANGWARRIN PTY LTD,
31917331,Late night (general) Licence,KNOX TAVERN HOTEL,1 CAPITAL CITY BOULEVARD KNOX TOWERPOINT,WANTIRNA SOUTH,3152,1 CAPITAL CITY BOULEVARD KNOX TOWERPOINT,WANTIRNA SOUTH,3152,KNOX CITY COUNCIL,CARDINIA HOSPITALITY PTY LTD,
31917349,Late night (general) Licence,WERRIBEE PLAZA TAVERN,WERRIBEE PLAZA SHOPPING CENTRE CNR DERRIMUT & HEATHS ROADS,WERRIBEE,3030,LEVEL 2- 10 YARRA STREET CNR DERRIMUT & HEATHS ROADS,SOUTH YARRA,3141,WYNDHAM CITY COUNCIL,AUSTRALIAN LEISURE AND HOSPITALITY GROUP LIMITED,
31917373,Late night (general) Licence,DINGLEY INTERNATIONAL HOTEL,CNR BOUNDARY ROAD & LAKE DRIVE,DINGLEY,3172,CNR BOUNDARY ROAD & LAKE DRIVE,DINGLEY,3172,GREATER DANDENONG CITY COUNCIL,WILLETTS D I PTY LTD,
31917399,General Licence,,364 CHURCH STREET,RICHMOND,3121,364 CHURCH STREET,RICHMOND,3121,YARRA CITY COUNCIL,ARTISTIC CULINAIRE PTY LTD,
31917454,Late night (general) Licence,SUB LOUNGE AND RESTAURANT,THE BASEMENT SOUTH EAST CNR BOURKE & ELIZABETH STS,MELBOURNE,3000,168 ELIZABETH STREET CNR BOURKE & ELIZABETH STS,MELBOURNE,3000,MELBOURNE CITY COUNCIL,PACIFIC SHOPPING CENTRES AUSTRALIA PTY LTD,
31917470,General Licence,THE BULL AND BEAR TAVERN,347 FLINDERS LANE,MELBOURNE,3000,347 FLINDERS LANE,MELBOURNE,3000,MELBOURNE CITY COUNCIL,BRISLUGAN PTY LTD,
31917496,Late night (general) Licence,HAMPTON PARK TAVERN,HALLAM ROAD,HAMPTON PARK,3976,71 HALLAM ROAD,HAMPTON PARK,3976,CASEY CITY COUNCIL,HAMPTON PARK TAVERN PTY LIMITED,
31920033,Late night (general) Licence,THE MERCAT CROSS HOTEL,BASEMENT GROUND & FIRST FLOOR 456 QUEEN STREET,MELBOURNE,3000,BASEMENT GROUND & FIRST FLOOR 456 QUEEN STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,SKEETA ENTERPRISES PTY LTD,
31920041,General Licence,FOODHALL DAVID JONES,LOWER GROUND FLOOR 299-307 BOURKE STREET,MELBOURNE,3000,DAVID JONES LTD (ATTN: COMPANY SECRETARY) GPO BOX 503,SYDNEY,2001,MELBOURNE CITY COUNCIL,SPEERTILL PTY LTD,
31920075,Late night (general) Licence,THE ROYAL MELBOURNE HOTEL,621-629 BOURKE STREET,MELBOURNE,3000,621-629 BOURKE STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,THE ROYAL MELBOURNE HOTEL PTY LTD,
31920106,Late night (general) Licence,FRONT COMPANY,242-244 LYGON STREET,CARLTON,3053,242-244 LYGON STREET,CARLTON,3053,MELBOURNE CITY COUNCIL,SUZANNE JACKSON,
31920122,General Licence,CUNNINGHAMS IRISH HOTEL,2424 WARBURTON HIGHWAY,YARRA JUNCTION,3797,2424 WARBURTON HIGHWAY,YARRA JUNCTION,3797,YARRA RANGES SHIRE COUNCIL,BLAKE HAPPY DAYS PTY LTD,
31920148,General Licence,MARINA RESTAURANT BISTRO & BAR,WESTERNPORT MARINA CNR MULLET & SKINNER STREETS,HASTINGS,3915,672 ESPLANADE CNR MULLET & SKINNER STREETS,MORNINGTON,3931,MORNINGTON PENINSULA SHIRE COUNCIL,MARINA VIEW HASTINGS PTY LTD,
31920180,General Licence,THE NELSON BAR,UNIT 2- HARLEY COURT 56A ACLAND STREET,ST KILDA,3182,103 / 63 ACLAND STREET 56A ACLAND STREET,ST KILDA,3182,PORT PHILLIP CITY COUNCIL,BS AND CO PTY LTD,
31920203,Late night (general) Licence,BRUNSWICK HOTEL,140 SYDNEY ROAD,BRUNSWICK,3056,140 SYDNEY ROAD,BRUNSWICK,3056,MORELAND CITY COUNCIL,RICHARD KRUK,
31920229,Late night (general) Licence,THE MILL-HOUSE BAR,277-279 FLINDERS LANE,MELBOURNE,3000,C/- WAKE UP! SYDNEY CENTRAL- 509 PITT STREET,SYDNEY NSW,2000,MELBOURNE CITY COUNCIL,THE MILL-HOUSE BAR PTY LTD,
31920245,Late night (general) Licence,PRINCESS THEATRE,163-179 SPRING STREET,MELBOURNE,3000,LEVEL 1 162 COLLINS STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,PRINCESS THEATRE HOLDINGS PTY LTD,
31920253,General Licence,GREEN PEPPER INDIAN RESTAURANT & BAR,18 BOURKE STREET,MELBOURNE,3000,18 BOURKE STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,JAGJEET KAUR,
31920261,Late night (general) Licence,TAYLORS LAKES FAMILY HOTEL,LOTS 7 & 8 KEILOR MELTON ROAD,TAYLORS LAKES,3038,PO BOX 228 KEILOR MELTON ROAD,PORT MELBOURNE,3207,BRIMBANK CITY COUNCIL,TAYLORS LAKES FAMILY HOTEL PTY LTD,
31920279,Late night (general) Licence,CHERRY HILL TAVERN,CNR ANDERSONS CREEK ROAD & REYNOLDS ROAD,DONCASTER EAST,3109,LEVEL 2- 10 YARRA STREET REYNOLDS ROAD,SOUTH YARRA,3141,MANNINGHAM CITY COUNCIL,AUSTRALIAN LEISURE AND HOSPITALITY GROUP PTY LTD,
31920287,Late night (general) Licence,NIEUW AMSTERDAM,GROUND FLOOR & BASEMENT 106-112 HARDWARE LANE,MELBOURNE,3000,106-112 HARDWARE LANE 106-112 HARDWARE LANE,MELBOURNE,3000,MELBOURNE CITY COUNCIL,WINKO PTY LTD,
31920300,Late night (general) Licence,WESTEND MARKET HOTEL,47 MCINTYRE ROAD,SUNSHINE,3020,47 MCINTYRE ROAD,SUNSHINE,3020,BRIMBANK CITY COUNCIL,WESTEND MARKET HOTEL PTY LTD,
31920334,General Licence,CATERINA'S CUCINA E' BAR,BASEMENT 221 QUEEN STREET,MELBOURNE,3000,BASEMENT 221 QUEEN STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,BORSATO E MERRIDEN PTY LTD,
31920384,Late night (general) Licence,YORK ON LILYDALE TAVERNER RESORT,CNR YORK & SWANSEA ROADS,MOUNT EVELYN,3796,LEVEL 2- 10 YARRA STREET,SOUTH YARRA,3141,YARRA RANGES SHIRE COUNCIL,AUSTRALIAN LEISURE AND HOSPITALITY GROUP LIMITED,
31920392,Late night (general) Licence,THE CHARLES DICKENS TAVERN MELBOURNE,"BASEMENT BUILDING ""C"" 290 COLLINS STREET",MELBOURNE,3000,PO BOX 2699 MELBOURNE GPO,MELBOURNE,3001,MELBOURNE CITY COUNCIL,EMPEROR RIVER PTY LTD,
31920415,Late night (general) Licence,KINGS CREEK HOTEL,1989 FRANKSTON-FLINDERS ROAD,HASTINGS,3915,PO BOX 699,HASTINGS,3915,MORNINGTON PENINSULA SHIRE COUNCIL,VICTORIAN CELLARS (VIC) PTY LTD,
31920423,Late night (general) Licence,OPIUM EXCLUSIVE GENTLEMANS LOUNGE AND EXOTIC DANCE,189-195 KING STREET,MELBOURNE,3000,12 SHELL LANE,POINT COOK,3030,MELBOURNE CITY COUNCIL,LIHNIDOS PTY LTD,
31920465,Late night (general) Licence,SEVEN NIGHTCLUB,52 ALBERT ROAD,SOUTH MELBOURNE,3205,52 ALBERT ROAD,SOUTH MELBOURNE,3205,PORT PHILLIP CITY COUNCIL,SEVEN ENT. SERVICES PTY LTD,
31920481,Late night (general) Licence,THE BASEMENT,THE BASEMENT 390 LONSDALE STREET,MELBOURNE,3000,THE BASEMENT 390 LONSDALE STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,AFTER DARK HOSPITALITY GROUP PTY LTD,
31920512,General Licence,MRS PARMA'S,19-25 LITTLE BOURKE STREET,MELBOURNE,3000,19-25 LITTLE BOURKE STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,PARMA (AUST) PTY LTD,
31920520,Late night (general) Licence,ADELPHI HOTEL,187 FLINDERS LANE,MELBOURNE,3000,LEVEL 2 187 FLINDERS LANE,MELBOURNE,3000,MELBOURNE CITY COUNCIL,ICONIC HOTELS GROUP PTY LTD,
31920570,Late night (general) Licence,DECCA BAR,93-95 QUEEN STREET,MELBOURNE,3000,93-95 QUEEN STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,HIP HOP ENTERPRISES PTY LTD,
31920588,Late night (general) Licence,LANGHAM HOTEL MELBOURNE,CNR RIVERSIDE AVENUE & BROWN STREET,SOUTHBANK,3006,P O BOX 30 FLINDERS LANE,MELBOURNE,8009,MELBOURNE CITY COUNCIL,SOUTHGATE HOTEL MANAGEMENT PTY LTD,
31920596,General Licence,RED PEPPER INDIAN RESTAURANT & BAR,14 BOURKE STREET,MELBOURNE,3000,14 BOURKE STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,JAGJEET KAUR,
31920601,General Licence,THE TERRACE ON EXHIBITION,333 EXHIBITION STREET,MELBOURNE,3000,333 EXHIBITION STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,ROCKWALL CORPORATE CATERING PTY LTD,
31920669,General Licence,J36,36 JOHNSTON STREET,FITZROY,3065,36 JOHNSTON STREET,FITZROY,3065,YARRA CITY COUNCIL,JOSEPH ANTHONY SIMONE,
31920677,General Licence,NANDO'S,400 LITTLE BOURKE STREET,MELBOURNE,3000,400 LITTLE BOURKE STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,NANDO'S AUSTRALIA PTY LTD,
31920685,Late night (general) Licence,THE RUM DIARY BAR,334 BRUNSWICK STREET,FITZROY,3065,334 BRUNSWICK STREET,FITZROY,3065,YARRA CITY COUNCIL,LIQUID LIVING PTY LTD,
31920724,General Licence,CAFE SEGOVIA,33 BLOCK PLACE,MELBOURNE,3000,33 BLOCK PLACE,MELBOURNE,3000,MELBOURNE CITY COUNCIL,MIHAILIDIS CORPORATION PTY LTD,
31920758,Late night (general) Licence,DING DONG LOUNGE,1ST FLOOR 18 MARKET LANE,MELBOURNE,3000,1ST FLOOR 18 MARKET LANE,MELBOURNE,3000,MELBOURNE CITY COUNCIL,DING DONG LOUNGE PTY LTD,
31920766,Late night (general) Licence,SHANGHAI CLUB RESTAURANT,GROUND- 1ST & 2ND FLOOR 242-244 LITTLE BOURKE STREET,MELBOURNE,3000,G P O BOX 5434CC 242-244 LITTLE BOURKE STREET,MELBOURNE,3001,MELBOURNE CITY COUNCIL,DAZELINE PTY LTD,
31920790,General Licence,MADAM SOUSOU,231 BRUNSWICK STREET,FITZROY,3065,231 BRUNSWICK STREET,FITZROY,3065,YARRA CITY COUNCIL,EUB PTY LTD,
31920821,Late night (general) Licence,,62 LITTLE COLLINS STREET,MELBOURNE,3000,62 LITTLE COLLINS STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,PIRATE COVE PTY LTD,
31920839,Late night (general) Licence,CRANBOURNE HOTEL,CNR SOUTH GIPPSLAND HIGHWAY & CAMMS ROAD,CRANBOURNE,3977,CNR SOUTH GIPPSLAND HIGHWAY & CAMMS ROAD,CRANBOURNE,3977,CASEY CITY COUNCIL,THE CRANBOURNE HOTEL PTY LTD,
31920863,Late night (general) Licence,IL GAMBERO ON THE PARK,GROUND FLOOR 166-168 LYGON STREET,CARLTON,3053,GROUND FLOOR 166-168 LYGON STREET,CARLTON,3053,MELBOURNE CITY COUNCIL,VICET PTY LTD,
31920902,Late night (general) Licence,BAROQ HOUSE,9-13 DREWERY LANE,MELBOURNE,3000,9-13 DREWERY LANE,MELBOURNE,3000,MELBOURNE CITY COUNCIL,BAROQ TRADING DOA PTY LTD,
31920910,General Licence,CRICKETERS ARMS HOTEL,69-71 CRUIKSHANK STREET,PORT MELBOURNE,3207,69-71 CRUIKSHANK STREET,PORT MELBOURNE,3207,PORT PHILLIP CITY COUNCIL,LUDABE INVESTMENTS PTY LTD,
31920944,Late night (general) Licence,GOLDEN NUGGET,117 LONSDALE STREET,MELBOURNE,3000,C/O MR SIMON GARDNER PO BOX 231,CAULFIELD EAST,3145,MELBOURNE CITY COUNCIL,MAGDAY PTY LTD,
31920952,Late night (general) Licence,MELBOURNE WINE ROOM,125 FITZROY STREET,ST KILDA,3182,1/275 DOMAIN ROAD,SOUTH YARRA,3141,PORT PHILLIP CITY COUNCIL,CLAREN GROUP PTY LTD,
31920960,General Licence,GEORGE LANE BAR,1 GEORGE LANE,ST KILDA,3182,1 GEORGE LANE,ST KILDA,3182,PORT PHILLIP CITY COUNCIL,HOSEA EMMANNUEL GALL,
31920994,Late night (general) Licence,MELBOURNE JOOMAK,BASEMENT 407-409 SWANSTON STREET,MELBOURNE,3000,407 SWANSTON STREET 407-409 SWANSTON STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,JJ INTERNATIONAL INVESTMENTS PTY LTD,
31921005,Late night (general) Licence,CLUB AERI,FIRST & SECOND FLOOR 193-195 LITTLE BOURKE STREET,MELBOURNE,3000,FIRST & SECOND FLOOR 193-195 LITTLE BOURKE STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,ALA GROUP PTY LTD,
31921013,Late night (general) Licence,MAX WATT'S IN MELBOURNE,125 SWANSTON STREET,MELBOURNE,3000,3 BRIDGES STREET,GLEN IRIS,3146,MELBOURNE CITY COUNCIL,MAX WATT'S OPERATING PTY LTD,
31921039,General Licence,WISHING WELL TAVERN,502 STATION STREET,CARRUM,3197,502 STATION STREET,CARRUM,3197,KINGSTON CITY COUNCIL,SAM-ATH KONG,
31921047,Late night (general) Licence,LA SANGRIA BAR,46 JOHNSTON STREET,FITZROY,3065,46 JOHNSTON STREET,FITZROY,3065,YARRA CITY COUNCIL,LA SANGRIA BAR AND CLUB PTY LTD,
31921055,General Licence,RHUMBA'S AT SOUTHGATE,SHOP G6/G7 SOUTHGATE LANDING SOUTHGATE,SOUTHBANK,3006,SHOP G6/G7 SOUTHGATE LANDING SOUTHGATE,SOUTHBANK,3006,MELBOURNE CITY COUNCIL,DE CHEN,
31921089,General Licence,GOONAWARRA VINEYARD,GOONAWARRA HOMESTEAD SUNBURY ROAD,SUNBURY,3429,GOONAWARRA HOMESTEAD SUNBURY ROAD,SUNBURY,3429,HUME CITY COUNCIL,SUNBURY WINE CENTRE PTY LTD,
31921110,Late night (general) Licence,INSIGNIA ON FLINDERS,502 FLINDERS STREET,MELBOURNE,3000,502 FLINDERS STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,ANTHONY TSAFANOS,
31921144,Late night (general) Licence,P J O'BRIENS IRISH PUB,SHOP G12 - 16 SOUTHGATE,SOUTHBANK,3006,566 CITY ROAD SOUTHGATE,SOUTH MELBOURNE,3205,MELBOURNE CITY COUNCIL,ICONIC PUBS AUSTRALIA PTY LTD,
31921152,General Licence,CARMINE'S BISTRO,234-236 LYGON STREET,CARLTON,3053,30A OUTER CRESCENT,BRIGHTON,3186,MELBOURNE CITY COUNCIL,RAHME & CO PTY LTD,
31921178,General Licence,THE FITZROY BEER GARDEN,243-245 GERTRUDE STREET,FITZROY,3065,6/16 GRANT STREET,OAKLEIGH,3166,YARRA CITY COUNCIL,SAM SILVA,
31921194,Late night (general) Licence,FABRIQUE,272 CITY ROAD,SOUTHBANK,3006,272 CITY ROAD,SOUTHBANK,3006,MELBOURNE CITY COUNCIL,NIGHTVISION ENTERPRISES PTY LTD,
31921209,Late night (general) Licence,STARDUSC ADULT NIGHTCLUB,1ST FLOOR 770-772 NICHOLSON STREET,FITZROY NORTH,3068,1ST FLOOR 770-772 NICHOLSON STREET,FITZROY NORTH,3068,YARRA CITY COUNCIL,BILLFIELD PTY LTD,
31921217,Late night (general) Licence,GASOMETER HOTEL,484 SMITH STREET,COLLINGWOOD,3066,484 SMITH STREET,COLLINGWOOD,3066,YARRA CITY COUNCIL,THE COBURG THREE PTY LTD,
31921225,Late night (general) Licence,COOPERS INN,280-282 EXHIBITION STREET,MELBOURNE,3000,SHOP 1- 280-282 EXHIBITION STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,EAST BRUNSWICK OPERATIONS PTY LTD,
31921233,Late night (general) Licence,KOROVA MILK BAR,12 BOURKE STREET,MELBOURNE,3000,12 BOURKE STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,KOROVA ENTERTAINMENT PTY LTD,
31921259,General Licence,GRILLA HOUSE,121 LYGON STREET,CARLTON,3053,121 LYGON STREET,CARLTON,3053,MELBOURNE CITY COUNCIL,XENDA INTERNATIONAL PTY LTD,
31921291,Late night (general) Licence,MASQUE BAR,FIRST FLOOR 19 PARK STREET,SOUTH MELBOURNE,3205,FIRST FLOOR 19 PARK STREET,SOUTH MELBOURNE,3205,PORT PHILLIP CITY COUNCIL,BAR DA BING PTY LTD,
31921314,Late night (general) Licence,BEACH NIGHTCLUB,303-305 SYDNEY ROAD,BRUNSWICK,3056,241 KING STREET,MELBOURNE,3000,MORELAND CITY COUNCIL,BEACH GENTLEMENS NIGHTCLUB PTY LTD,
31921322,Late night (general) Licence,LAUNDRY FITZROY,48-50 JOHNSTON STREET,FITZROY,3065,48-50 JOHNSTON STREET,FITZROY,3065,YARRA CITY COUNCIL,WATERS BARRETT PTY LTD,
31921372,General Licence,THE ATOMIC BAR,183-185 NELSON PLACE,WILLIAMSTOWN,3016,183-185 NELSON PLACE,WILLIAMSTOWN,3016,HOBSONS BAY CITY COUNCIL,TINISA PTY LTD,
31921398,Late night (general) Licence,BLUE TRAIN CAFE,UR3 / U10 UPPER LEVEL 3 SOUTHGATE AVENUE,SOUTHBANK,3006,UR3 / U10 UPPER LEVEL 3 SOUTHGATE AVENUE,SOUTHBANK,3006,MELBOURNE CITY COUNCIL,BLUE TRAIN CAFE PTY LTD,
31921403,General Licence,RACV CAPE SCHANCK RESORT,150 BONEO ROAD,CAPE SCHANCK,3939,150 BONEO ROAD,CAPE SCHANCK,3939,MORNINGTON PENINSULA SHIRE COUNCIL,RACV SALES & MARKETING PTY LTD,
31921437,General Licence,ATHENAEUM THEATRE,188 COLLINS STREET,MELBOURNE,3000,188 COLLINS STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,A.T.MANAGEMENT PTY LTD,
31921445,Late night (general) Licence,COLLINS QUARTER,86-88 COLLINS STREET,MELBOURNE,3000,86A COLLINS STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,PINK COLLINS PTY LTD,
31921453,Late night (general) Licence,HIGHPOINT TAVERNER,HIGHPOINT SHOPPING CENTRE 120-200 ROSAMOND ROAD,MARIBYRNONG,3032,LEVEL 2- 10 YARRA STREET 120-200 ROSAMOND ROAD,SOUTH YARRA,3141,MOONEE VALLEY CITY COUNCIL,AUSTRALIAN LEISURE AND HOSPITALITY GROUP LIMITED,
31921479,General Licence,RICE QUEEN ORIENTAL DINER AND BAR,389-391 BRUNSWICK STREET,FITZROY,3065,389-391 BRUNSWICK STREET,FITZROY,3065,YARRA CITY COUNCIL,SEVILLE PTY LTD,
31921495,Late night (general) Licence,L'UNICO HOTEL,SHOP 1 & 2 317-319 CLAYTON ROAD,CLAYTON,3168,SHOP 1 & 2 317-319 CLAYTON ROAD,CLAYTON,3168,MONASH CITY COUNCIL,L'UNICO PTY LTD,
31921518,Late night (general) Licence,LA NOTTE RESTAURANT,140-142 LYGON STREET,CARLTON,3053,140-142 LYGON STREET,CARLTON,3053,MELBOURNE CITY COUNCIL,LA NOTTE PTY LTD,
31921568,Late night (general) Licence,CENTREFOLD LOUNGE,22-24 KING STREET,MELBOURNE,3000,601 LONSDALE STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,CENTREFOLD LOUNGE PTY LTD,
31921576,Late night (general) Licence,YAH YAH'S,99 SMITH STREET,FITZROY,3065,99 SMITH STREET,FITZROY,3065,YARRA CITY COUNCIL,99 SMITH STREET PTY LTD,
31921592,Late night (general) Licence,NOTTURNO CAFE BAR,177-179 LYGON STREET,CARLTON,3053,177-179 LYGON STREET,CARLTON,3053,MELBOURNE CITY COUNCIL,TURIDO PTY LTD,
31921607,Late night (general) Licence,THE MEN'S GALLERY,601 LONSDALE STREET,MELBOURNE,3000,601 LONSDALE STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,THE MEN'S GALLERY AUSTRALIA PTY LTD,
31921615,General Licence,VILLAGE MELBOURNE,557 ST KILDA ROAD,MELBOURNE,3004,557 ST KILDA ROAD,MELBOURNE,3004,MELBOURNE CITY COUNCIL,SARATOGA AUSTRALIA PTY LTD,
31921623,Late night (general) Licence,BOURKE HILL'S WELCOME STRANGER,128 BOURKE STREET,MELBOURNE,3000,128 BOURKE STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,128 BOURKE ST PTY LTD,
31921657,Late night (general) Licence,,121 FLINDERS LANE,MELBOURNE,3000,GROUND LEVEL 121 FLINDERS LANE,MELBOURNE,3000,MELBOURNE CITY COUNCIL,NEW LINE INVESTMENTS (VIC) PTY LTD,
31921665,General Licence,THE HERITAGE BAR RESTAURANT & RECEPTIONS,514 HIGH STREET,EPPING,3076,PO BOX 1033,EPPING,3076,WHITTLESEA CITY COUNCIL,CURRY STAR CAFE BAR & RESTAURANT PTY. LTD.,
31921704,General Licence,DOPPIOZERO PIZZERIA & WINE BAR,475 MOOROODUC HIGHWAY,MOOROODUC,3933,PO BOX 394,MOUNT ELIZA,3930,MORNINGTON PENINSULA SHIRE COUNCIL,DOPPIOZERO PIZZERIA & WINE BAR PTY LTD,
31921720,Late night (general) Licence,VUE DE MONDE,LEVEL 55 RIALTO TOWER 525 COLLINS STREET,MELBOURNE,3000,LEVEL 55 RIALTO TOWER SOUTH TOWER 525 COLLINS STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,EUROPEAN CUISINE OF AUSTRALIA PTY LTD,
31921738,General Licence,BUCATINI,454-456 WHITEHORSE ROAD,MITCHAM,3132,454-456 WHITEHORSE ROAD,MITCHAM,3132,WHITEHORSE CITY COUNCIL,MISTTY DREAM PTY LTD,
31921746,General Licence,LITTLE RIVER HOTEL,10-14 FLINDERS STREET,LITTLE RIVER,3211,10-14 FLINDERS STREET,LITTLE RIVER,3211,WYNDHAM CITY COUNCIL,A.C.N. 600 856 200 PTY LTD,
31921770,General Licence,VICTORIAN WINE CENTRE,20-22 ARMSTRONG STREET,MIDDLE PARK,3206,6/16 GRANT STREET,OAKLEIGH,3166,PORT PHILLIP CITY COUNCIL,SAM SILVA,
31921796,General Licence,KAOS BAR,743 SWANSTON STREET,CARLTON,3053,743 SWANSTON STREET,CARLTON,3053,MELBOURNE CITY COUNCIL,EMMA CLEINE NOMINEES PTY LTD,
31921835,General Licence,BEAR BRASS,SHOP GR3A 2 SOUTHGATE AVENUE,SOUTHBANK,3006,SHOP GR3A 2 SOUTHGATE AVENUE,SOUTHBANK,3006,MELBOURNE CITY COUNCIL,RED ROCK LEISURE HOTELS PTY LTD,
31921869,Late night (general) Licence,SIRCUIT BAR,103-105 SMITH STREET,FITZROY,3065,103-105 SMITH STREET,FITZROY,3065,YARRA CITY COUNCIL,FAHDRISCOLL ENTERPRISES PTY LTD,
31921885,General Licence,+39 PIZZERIA E ANTIPASTERIA,362-364 LITTLE BOURKE STREET,MELBOURNE,3000,C/- OXFORD ACCOUNTING GROUP PO BOX 103,BRUNSWICK SOUTH,3055,MELBOURNE CITY COUNCIL,GRUPPO PIU 39 PTY LTD,
31921893,Late night (general) Licence,THE CHASE HOTEL,TENANCY 304 FOREST HILL CHASE SHOPPING CENTRE,FOREST HILL,3131,TENANCY 304 FOREST HILL CHASE SHOPPING CENTRE,FOREST HILL,3131,WHITEHORSE CITY COUNCIL,VICTORIAN TAVERNS PTY LTD,
31921966,Late night (general) Licence,HEARTBREAKER BAR,234 RUSSELL STREET,MELBOURNE,3000,LEVEL 1 150-156 GERTRUDE STREET,FITZROY,3065,MELBOURNE CITY COUNCIL,HEARTBREAKER BAR PTY LTD,
31921974,Late night (general) Licence,LOT 7 BAR RESTAURANT,95-97 FLINDERS LANE,MELBOURNE,3000,292 CHURCH STREET,RICHMOND,3121,MELBOURNE CITY COUNCIL,NEAR 101 PTY LTD,
31921982,General Licence,IL BACARO AUSTRALIA,SHOPS 4 & 5 166-170 LITTLE COLLINS STREET,MELBOURNE,3000,SHOPS 4 & 5 166-170 LITTLE COLLINS STREET,MELBOURNE,3000,MELBOURNE CITY COUNCIL,SAN GIANNI PTY LTD,
31921990,General Licence,THE DOGS BAR ON ACLAND STREET,GROUND FLOOR 54 ACLAND STREET,ST KILDA,3182,GROUND FLOOR 54 ACLAND STREET,ST KILDA,3182,PORT PHILLIP CITY COUNCIL,THE DOGS BAR ON ACLAND STREET PTY LTD,
31922001,Late night (general) Licence,THE GEORGE PUBLIC BAR,LOWER GROUND FLOOR 127-135 FITZROY STREET,ST KILDA,3182,LOWER GROUND FLOOR 127 FITZROY STREET,ST KILDA,3182,PORT PHILLIP CITY COUNCIL,NATIONAL HOSPITALITY GROUP PTY LTD,
31922035,Late night (general) Licence,SUMMERHILL HOTEL,SHOPS 12 & 13 830 PLENTY ROAD,RESERVOIR,3073,SHOPS 12 & 13 830 PLENTY ROAD,RESERVOIR,3073,WHITTLESEA CITY COUNCIL,SUMMERHILL HOTEL PTY LTD,
31922043,General Licence,ARTHURS HOTEL,390 ARTHURS SEAT ROAD,DROMANA,3936,390 ARTHURS SEAT ROAD,DROMANA,3936,MORNINGTON PENINSULA SHIRE COUNCIL,MMW HOSPITALITY PTY LTD,
31922051,Late night (general) Licence,QPO CAFE BAR RESTAURANT,186 HIGH STREET,KEW,3101,186 HIGH STREET,KEW,3101,BOROONDARA CITY COUNCIL,QPO CAFE BAR RESTAURANT PTY LTD,
31922077,Late night (general) Licence,EPPING PLAZA HOTEL,EPPING PLAZA SHOPPING CENTRE CNR HIGH & COOPER STREETS,EPPING,3076,EPPING PLAZA SHOPPING CENTRE CNR HIGH & COOPER STREETS,EPPING,3076,WHITTLESEA CITY COUNCIL,LUCKY EIGHTS PTY LTD,
31922116,Late night (general) Licence,THE COVE HOTEL,PRECINCT 10 ENDEAVOUR COVE MCLEOD ROAD,PATTERSON LAKES,3197,C/O MR SIMON GARDNER PO BOX 231,CAULFIELD EAST,3145,KINGSTON CITY COUNCIL,YADNUM PTY LTD,
31922124,General Licence,KINGSTON LINKS GOLF COURSE,KINGSTON LINKS GOLF COURSE CORPORATE AVENUE,ROWVILLE,3178,KINGSTON LINKS GOLF COURSE CORPORATE AVENUE,ROWVILLE,3178,KNOX CITY COUNCIL,KINGSTON LINKS GOLF COURSE PTY LTD,
31922140,General Licence,CANADIAN BAY HOTEL,35 RANELAGH DRIVE,MOUNT ELIZA,3930,35 RANELAGH DRIVE,MOUNT ELIZA,3930,MORNINGTON PENINSULA SHIRE COUNCIL,PADULA INVESTMENTS PTY LTD,
31922166,Late night (general) Licence,ST KILDA CELLARS,45 FITZROY STREET,ST KILDA,3182,45 FITZROY STREET,ST KILDA,3182,PORT PHILLIP CITY COUNCIL,H & G FOOD INGREDIENTS PTY LTD,
