Licence No,Licence Category,Trading As,Address,Suburb,Postcode,Postal Address,Postal Suburb,Postal Postcode,Council Name,Licensee,
32021971,Packaged Liquor Licence,DAN MURPHY'S,21-35 GARSED STREET,BENDIGO,3554,ATTENTION: KAY ATTARD PO BOX 8000,BAULKHAM HILLS NSW,2153,GREATER BENDIGO CITY COUNCIL,WOOLWORTHS LIMITED,
32022008,Packaged Liquor Licence,TORQUAY SUPERMARKET,9-17 GILBERT STREET,TORQUAY,3228,PO BOX 119,MT CLEAR,3350,SURF COAST SHIRE COUNCIL,RYDYN PTY LTD,
32022121,Packaged Liquor Licence,CANN RIVER LICENCED GROCERY STORE,PRINCES HIGHWAY,CANN RIVER,3889,PRINCES HIGHWAY,CANN RIVER,3889,EAST GIPPSLAND SHIRE COUNCIL,SRI VINAYAKA PTY LTD,
32022139,Packaged Liquor Licence,BWS - BEER- WINE- SPIRITS,G059 & G060 CORIO VILLAGE S/C CNR PURNELL RD & BACCHUS MARSH RD,CORIO,3214,ATTENTION: KAY ATTARD PO BOX 8000,BAULKHAM HILLS NSW,2153,GREATER GEELONG CITY COUNCIL,WOOLWORTHS LIMITED,
32022252,Packaged Liquor Licence,MURRAY RIVER HIDEAWAY HOLIDAY PARK,260 WASERS ROAD,STRATHMERTON,3641,260 WASERS ROAD,STRATHMERTON,3641,MOIRA SHIRE COUNCIL,STRATHMERTON RIVER RESORT PTY LTD,
32022294,Packaged Liquor Licence,SOVEREIGN LIQUOR,SHOPS 2 & 3 30-34 GAYVIEW DRIVE,WODONGA,3690,PO BOX 251 30-34 GAYVIEW DRIVE,COROWA,2646,WODONGA CITY COUNCIL,THREE GABLES PTY LTD,
32022309,Packaged Liquor Licence,MONACELLARS,10 CHURCH STREET,MORWELL,3840,10 CHURCH STREET,MORWELL,3840,LATROBE CITY COUNCIL,BALLYMOSS PTY LTD,
32022317,Packaged Liquor Licence,FOODWORKS WARRACKNABEAL,112 SCOTT STREET,WARRACKNABEAL,3393,112 SCOTT STREET,WARRACKNABEAL,3393,YARRIAMBIACK SHIRE COUNCIL,YZ TRADING GROUP PTY LTD,
32022375,Packaged Liquor Licence,KILMORE FOODWORKS,SHOP 4 84-86 SYDNEY STREET,KILMORE,3764,SHOP 4 84-86 SYDNEY STREET,KILMORE,3764,MITCHELL SHIRE COUNCIL,LCT TRADING PTY LTD,
32022406,Packaged Liquor Licence,BWS - BEER- WINE- SPIRITS,CNR GEORGE & ANZAC STREETS,MOE,3825,ATTENTION: KAY ATTARD PO BOX 8000,BAULKHAM HILLS NSW,2153,LATROBE CITY COUNCIL,WOOLWORTHS LIMITED,
32022414,Packaged Liquor Licence,LINDENOW SOUTH GENERAL STORE,640 LINDENOW-GLENALDALE ROAD,LINDENOW SOUTH,3875,640 LINDENOW-GLENALDALE ROAD,LINDENOW SOUTH,3875,EAST GIPPSLAND SHIRE COUNCIL,MARIA STORER,
32022498,Packaged Liquor Licence,BWS - BEER- WINE- SPIRITS,SAFEWAY SUPERMARKET 234-246 HIGH STREET- GOLDEN SQUARE,BENDIGO,3555,ATTENTION: KAY ATTARD PO BOX 8000,BAULKHAM HILLS NSW,2153,GREATER BENDIGO CITY COUNCIL,WOOLWORTHS LIMITED,
32022503,Packaged Liquor Licence,LIQUORLAND,SHOP 6 BI-LO SQUARE SHOPPING CENTRE,SWAN HILL,3585,PO BOX 2000 BI-LO SQUARE SHOPPING CENTRE,GLEN IRIS,3146,SWAN HILL RURAL CITY COUNCIL,LIQUORLAND (AUSTRALIA) PTY LTD,
32022587,Packaged Liquor Licence,MICHAEL'S IGA HWY LIQUOR,LOT 12E CNR ANDERSON & TURNER STRS,LEONGATHA,3953,PO BOX 143,MENTONE,3194,SOUTH GIPPSLAND SHIRE COUNCIL,AEROTEN PTY LTD,
32022600,Packaged Liquor Licence,TIME OUT HOLIDAY PARK,19 BRIDGE STREET,KOONOOMOO,3644,PO BOX 1042,WINDSOR,3181,MOIRA SHIRE COUNCIL,CARAVAN PARKS OF AUSTRALIA PTY LTD,
32022634,Packaged Liquor Licence,HOWQUA VALLEY RESORT PTY LTD,2740 MANSFIELD WOODS POINT ROAD,HOWQUA,3723,PO BOX 361,MANSFIELD,3724,MANSFIELD SHIRE COUNCIL,HOWQUA VALLEY RESORT PTY LTD,
32022668,Packaged Liquor Licence,,SHOP 12 107 MAIN STREET,ROMSEY,3434,SHOP 12 107 MAIN STREET,ROMSEY,3434,MACEDON RANGES SHIRE COUNCIL,GOLDEN STARS TRADING PTY LTD,
32022676,Packaged Liquor Licence,LODDON HOUSE HOLIDAY PARK,MARYBOROUGH ROAD,BARINGHUP,3463,MARYBOROUGH ROAD,BARINGHUP,3463,MOUNT ALEXANDER SHIRE COUNCIL,ROBERT LEONARD WILSON,
32022749,Packaged Liquor Licence,NULLAWARRE BOTTLE SHOP,2227 TIMBOON-NULLAWARRE ROAD,NULLAWARRE,3268,2227 TIMBOON-NULLAWARRE ROAD,NULLAWARRE,3268,CORANGAMITE SHIRE COUNCIL,ERRAWALLUN NOMINEES PTY LTD,
32022812,Packaged Liquor Licence,ARLBERG HOTHAM,LEVEL 2 THE ARLBERG 1 GREAT ALPINE ROAD,MT HOTHAM,3741,PO BOX 95 1 GREAT ALPINE ROAD,BLAIRGOWRIE,3942,ALPINE SHIRE COUNCIL,HABITAT APARTMENTS MELBOURNE PTY LTD,
32022862,Packaged Liquor Licence,DEAKIN CELLARS,206A DEAKIN AVENUE,MILDURA,3500,206A DEAKIN AVENUE,MILDURA,3500,MILDURA RURAL CITY COUNCIL,WARDEN HOLDINGS PTY LTD,
32022870,Packaged Liquor Licence,TYERS GENERAL STORE,LOT 1 MAIN ROAD,TYERS,3844,UNITED PETROLEUM C/- FIONA GARVEY 200 HODDLE STREET,TYERS,3844,LATROBE CITY COUNCIL,JAFFAY PTY LTD,
32022896,Packaged Liquor Licence,NAGAMBIE SUPERMARKET,259-261 HIGH STREET,NAGAMBIE,3608,259-261 HIGH STREET,NAGAMBIE,3608,STRATHBOGIE SHIRE COUNCIL,WEIR FAMILY SUPERMARKETS (NAGAMBIE) PTY LTD,
32022927,Packaged Liquor Licence,VENUS BAY GENERAL STORE,139 JUPITER BOULEVARD,VENUS BAY,3956,139 JUPITER BOULEVARD,VENUS BAY,3956,SOUTH GIPPSLAND SHIRE COUNCIL,WILLSET PTY LTD,
32022969,Packaged Liquor Licence,GIPPSLAND FOOD AND WINE,123-125 PRINCES HIGHWAY,YARRAGON,3823,123-125 PRINCES HIGHWAY,YARRAGON,3823,BAW BAW SHIRE COUNCIL,ALAN GEORGE LARSEN,
32022977,Packaged Liquor Licence,RITCHIES STORES,SHOP 8 HAZELWOOD VILLAGE SHOPPING CENTRE,CHURCHILL,3842,PO BOX 2051 HAZELWOOD VILLAGE SHOPPING CENTRE,SEAFORD,3198,LATROBE CITY COUNCIL,RITCHIES STORES PTY LTD,
32023012,Packaged Liquor Licence,,20 VICTORIA STREET,MACEDON,3440,20 VICTORIA STREET,MACEDON,3440,MACEDON RANGES SHIRE COUNCIL,LUCIA LAI,
32023046,Packaged Liquor Licence,VILLAGE SUPERMARKET BENALLA,35 FAITHFUL STREET,BENALLA,3672,PO BOX 1473,TRARALGON,3844,BENALLA RURAL CITY COUNCIL,CHAMPIONS TIAN'S PTY LTD,
32023143,Packaged Liquor Licence,BWS - BEER- WINE- SPIRITS,12-18 NOLAN STREET,KERANG,3579,ATTENTION: KAY ATTARD PO BOX 8000,BAULKHAM HILLS NSW,2153,GANNAWARRA SHIRE COUNCIL,WOOLWORTHS LIMITED,
32023169,Packaged Liquor Licence,THE ANCHORAGE PARK & GENERAL STORE,CNR ANCHORAGE & VENTNOR ROADS,VENTNOR,3922,RMB 1025,VENTNOR,3922,BASS COAST SHIRE COUNCIL,KAY ELIZABETH HAMILTON,
32023177,Packaged Liquor Licence,EAGLE POINT CARAVAN PARK,EAGLE POINT CARAVAN PARK,EAGLE POINT,3878,PO BOX 1618,BAIRNSDALE,3875,EAST GIPPSLAND SHIRE COUNCIL,EAST GIPPSLAND SHIRE COUNCIL,
32023185,Packaged Liquor Licence,LICOLA GENERAL STORE,LOT 2 JAMIESON ROAD,LICOLA,3858,LOT 2 JAMIESON ROAD,LICOLA,3858,WELLINGTON SHIRE COUNCIL,MARIA WINTER,
32023193,Packaged Liquor Licence,BWS - BEER WINE SPIRITS,95-103 LANGTREE AVENUE,MILDURA,3500,PO BOX 8000,BAULKHAM HILLS NSW,2153,MILDURA RURAL CITY COUNCIL,WOOLWORTHS LIMITED,
32023224,Packaged Liquor Licence,RANDALL'S LICENSED SUPERMARKET,42 HIGH STREET,WEDDERBURN,3518,42 HIGH STREET,WEDDERBURN,3518,LODDON SHIRE COUNCIL,DALRITE PTY LTD,
32023258,Packaged Liquor Licence,,SHOP 4 156 DEKERILLEAU DRIVE,WODONGA,3690,SHOP 4 156 DEKERILLEAU DRIVE,WODONGA,3690,WODONGA CITY COUNCIL,PHILIDON PTY LTD,
32023290,Packaged Liquor Licence,A & R NARDI LIQUOR STORE,SHOP 26- 27-37 BELLARINE HIGHWAY BELLARINE VILLAGE SHOPPING CENTRE,NEWCOMB,3219,SHOP 26- 27-37 BELLARINE HIGHWAY BELLARINE VILLAGE SHOPPING CENTRE,NEWCOMB,3219,GREATER GEELONG CITY COUNCIL,ANTONIO NARDI,
32023339,Packaged Liquor Licence,NEWHAVEN SUPERMARKET,SHOPS 1 - 3 8-10 FORREST AVENUE,NEWHAVEN,3925,SHOPS 1 - 3 8-10 FORREST AVENUE,NEWHAVEN,3925,BASS COAST SHIRE COUNCIL,FRANCIS WILLIAM ALLCHIN,
32023509,Packaged Liquor Licence,LAKE CHARM GENERAL STORE,MURRAY VALLEY HIGHWAY,LAKE CHARM,3581,PO BOX 213,KERANG,3579,GANNAWARRA SHIRE COUNCIL,RMD INVESTING PTY LTD,
32023533,Packaged Liquor Licence,NARDI CELLARS,15-19 BELLEVUE AVENUE,HIGHTON,3216,15-19 BELLEVUE AVENUE,HIGHTON,3216,GREATER GEELONG CITY COUNCIL,NARDI CELLARS PTY LTD,
32023648,Packaged Liquor Licence,BWS - BEER- WINE- SPIRITS,SHOP 1 BENDIGO MARKET PLACE SHOPPING CENTRE,BENDIGO,3550,ATTENTION: KAY ATTARD PO BOX 8000,BAULKHAM HILLS NSW,2153,GREATER BENDIGO CITY COUNCIL,WOOLWORTHS LIMITED,
32023664,Packaged Liquor Licence,INVERLOCH SUPERMARKET,10-12 REILLY STREET,INVERLOCH,3996,10-12 REILLY STREET,INVERLOCH,3996,SOUTH GIPPSLAND SHIRE COUNCIL,DABT PTY LTD,
32023672,Packaged Liquor Licence,JOHNSONVILLE BLACKSTUMP GENERAL STORE,1761 PRINCES HIGHWAY,JOHNSONVILLE,3902,8 LIMESTONE VIEW,TAMBO UPPER,3885,EAST GIPPSLAND SHIRE COUNCIL,THE JOHNSONVILLE BLACK STUMP PTY LTD,
32023729,Packaged Liquor Licence,NORTHPOINT LIQUOR BARN,82 HOPKINS HIGHWAY,WARRNAMBOOL,3280,82 HOPKINS HIGHWAY,WARRNAMBOOL,3280,WARRNAMBOOL CITY COUNCIL,MOUNT KIMBERLEY PTY LTD,
32023745,Packaged Liquor Licence,FOOD CITY @ BENALLA,122-124 WALLER STREET,BENALLA,3672,122-124 WALLER STREET,BENALLA,3672,BENALLA RURAL CITY COUNCIL,FOOD CITY AUSTRALIA PTY LTD,
32023800,Packaged Liquor Licence,RANDALL THE WINE MERCHANT,324-326 PAKINGTON STREET,NEWTOWN,3220,324-326 PAKINGTON STREET,NEWTOWN,3220,GREATER GEELONG CITY COUNCIL,MY WINE MERCHANT PTY LTD,
32023834,Packaged Liquor Licence,OSTRA,27-29 MOORE STREET,ROBINVALE,3549,PO BOX 356,ROBINVALE,3549,SWAN HILL RURAL CITY COUNCIL,OSTRA PTY LTD,
32023868,Packaged Liquor Licence,FRIENDLY GROCER NORTH GEELONG,157 MELBOURNE ROAD,GEELONG NORTH,3215,157 MELBOURNE ROAD,GEELONG NORTH,3215,GREATER GEELONG CITY COUNCIL,SHOPPING B & Q PTY LTD,
32023892,Packaged Liquor Licence,GENERAL STORE,BARR STREET,TUNGAMAH,3728,BARR STREET,TUNGAMAH,3728,MOIRA SHIRE COUNCIL,PACA JOVANOVSKI,
32023949,Packaged Liquor Licence,MONEGEETTA WELCOME MART GENERAL STORE,MELBOURNE-LANCEFIELD ROAD,MONEGEETTA,3433,MELBOURNE-LANCEFIELD ROAD,MONEGEETTA,3433,MACEDON RANGES SHIRE COUNCIL,WEAVERTONE PTY LTD,
32023973,Packaged Liquor Licence,BWS - BEER- WINE- SPIRITS,745-763 RAGLAN PARADE,WARRNAMBOOL,3280,ATTENTION: KAY ATTARD PO BOX 8000,BAULKHAM HILLS NSW,2153,WARRNAMBOOL CITY COUNCIL,WOOLWORTHS LIMITED,
32023999,Packaged Liquor Licence,TRARALGON SOUHTH GENERAL STORE & BOTTLE SHOP,25 MORGAN DRIVE,TRARALGON SOUTH,3844,25 MORGAN DRIVE,TRARALGON SOUTH,3844,LATROBE CITY COUNCIL,BUSINESS BOOSTERS PTY LTD,
32024026,Packaged Liquor Licence,CARISBROOK SUPERMARKET & NEWSAGENCY,20 GREEN STREET,CARISBROOK,3464,20 GREEN STREET,CARISBROOK,3464,CENTRAL GOLDFIELDS SHIRE COUNCIL,SALANGANE PTY LTD,
32024068,Packaged Liquor Licence,KINGLAKE FOODRITE,LOT 2 WHITTLESEA KINGLAKE ROAD,KINGLAKE,3763,LOT 2 WHITTLESEA KINGLAKE ROAD,KINGLAKE,3763,MURRINDINDI SHIRE COUNCIL,ADON HOLDINGS PTY LTD,
32024076,Packaged Liquor Licence,NAVARRE GENERAL STORE,39 HIGH STREET,NAVARRE,3384,39 HIGH STREET,NAVARRE,3384,PYRENEES SHIRE COUNCIL,EAGLE VALLEY PTY LTD,
32024123,Packaged Liquor Licence,FIRST CHOICE LIQUOR SUPERSTORE,CNR ELGIN & LALOR STREET,WODONGA,3690,PO BOX 2000,GLEN IRIS,3146,WODONGA CITY COUNCIL,LIQUORLAND (AUSTRALIA) PTY LTD,
32024131,Packaged Liquor Licence,PORT CAMPBELL SHOPPING & PORT CAMPBELL CELLARS,23 LORD STREET,PORT CAMPBELL,3269,23 LORD STREET,PORT CAMPBELL,3269,CORANGAMITE SHIRE COUNCIL,FIEBOU PTY LTD,
32024181,Packaged Liquor Licence,BWS - BEER- WINE- SPIRITS,CNR HIGH & ELGIN STREETS,WODONGA,3690,ATTENTION: KAY ATTARD PO BOX 8000,BAULKHAM HILLS NSW,2153,WODONGA CITY COUNCIL,WOOLWORTHS LIMITED,
32024199,Packaged Liquor Licence,LIQUORLAND,SHOPS 1 & 2 7-65 HIGH STREET,BELMONT,3216,PO BOX 2000 7-65 HIGH STREET,GLEN IRIS,3146,GREATER GEELONG CITY COUNCIL,LIQUORLAND (AUSTRALIA) PTY LTD,
32024238,Packaged Liquor Licence,KANGAROO GENERAL STORE,HUME WEIR ROAD,EBDEN,3691,P O BOX 29,EBDEN,3691,INDIGO SHIRE COUNCIL,GAIL LYDIA SINGLETON,
32024343,Packaged Liquor Licence,SMITH-S BEACH GENERAL STORE,219-221 SMITHS BEACH ROAD,SMITHS BEACH,3922,219-221 SMITHS BEACH ROAD,SMITHS BEACH,3922,BASS COAST SHIRE COUNCIL,DVEPKO PTY LTD,
32024432,Packaged Liquor Licence,LIQUOR WORKS BACCHUS MARSH,CORNER GELL STREET & BENNETT STREET,BACCHUS MARSH,3340,1-9 BENNETT STREET,BACCHUS MARSH,3340,MOORABOOL SHIRE COUNCIL,BACCHUS MARSH MEGA FRESH PTY LTD,
32024474,Packaged Liquor Licence,,4 SAGE COURT,BARANDUDA,3691,4 SAGE COURT,BARANDUDA,3691,INDIGO SHIRE COUNCIL,DP & ME GREALY PTY LTD,
32024589,Packaged Liquor Licence,,HAPPY VALLEY ROAD,ROBINVALE,3549,HAPPY VALLEY STORE HAPPY VALLEY ROAD,ROBINVALE,3549,SWAN HILL RURAL CITY COUNCIL,NATHAN FALVO,
32024602,Packaged Liquor Licence,BWS - BEER- WINE- SPIRITS,CORNER UNION AND BRADLEY STREETS,KYABRAM,3620,ATTENTION: KAY ATTARD PO BOX 8000,BAULKHAM HILLS NSW,2153,CAMPASPE SHIRE COUNCIL,WOOLWORTHS LIMITED,
32024636,Packaged Liquor Licence,DYSON'S LICENSED SUPERMARKET,2-6 MELVILLE STREET,NUMURKAH,3636,2-6 MELVILLE STREET,NUMURKAH,3636,MOIRA SHIRE COUNCIL,WYKTOTO PTY LTD,
32024717,Packaged Liquor Licence,HOTHAM CENTRAL SUPERMARKET AT HOTHAM,GREAT ALPINE ROAD,MOUNT HOTHAM,3741,1 CINDY COURT,BRIGHT,3741,ALPINE SHIRE COUNCIL,LATENT INVESTMENTS PTY LTD,
32024741,Packaged Liquor Licence,NICHOLS POINT STORE,22 FIFTH STREET NICHOLS POINT,NICHOLS POINT,3501,22 FIFTH STREET NICHOLS POINT,NICHOLS POINT,3501,MILDURA RURAL CITY COUNCIL,JOHN MIHALJEVIC,
32050027,Packaged Liquor Licence,MANNY'S DELI & LIQUOR,SHOPS 3 - 6 186 COMMERCIAL ROAD,MORWELL,3840,SHOPS 3 - 6 186 COMMERCIAL ROAD,MORWELL,3840,LATROBE CITY COUNCIL,MANNYS DELI & LIQUOR PTY LTD,
32050069,Packaged Liquor Licence,HUNTLY SUPERSTORE,SHOP 4 619 MIDLAND HIGHWAY,HUNTLY,3551,SHOP 4 619 MIDLAND HIGHWAY,HUNTLY,3551,GREATER BENDIGO CITY COUNCIL,ROLPH STONE ENTERPRISE PTY LTD,
32050077,Packaged Liquor Licence,ROSEDALE BOTTLE SHOP,2A PRINCE STREET,ROSEDALE,3847,2A PRINCE STREET,ROSEDALE,3847,WELLINGTON SHIRE COUNCIL,ANGEL PEREZ,
32050093,Packaged Liquor Licence,,18 HIGH STREET,RUSHWORTH,3612,18 HIGH STREET,RUSHWORTH,3612,CAMPASPE SHIRE COUNCIL,QU & CHENG PTY LTD,
32050166,Packaged Liquor Licence,LAKEVIEW GENERAL STORE,RMB 6121 SEASPRAY ROAD,LONGFORD,3851,RMB 6121 SEASPRAY ROAD,LONGFORD,3851,WELLINGTON SHIRE COUNCIL,FIONA PATRICIA FARMER,
32050182,Packaged Liquor Licence,BWS - BEER- WINE- SPIRITS,9 CRESSY STREET,CAMPERDOWN,3260,ATTENTION: KAY ATTARD PO BOX 8000,BAULKHAM HILLS NSW,2153,CORANGAMITE SHIRE COUNCIL,WOOLWORTHS LIMITED,
32050386,Packaged Liquor Licence,PACIFIC JD,30 ROSE AVENUE,NORLANE,3214,30 ROSE AVENUE,NORLANE,3214,GREATER GEELONG CITY COUNCIL,PACIFIC JD PTY. LTD.,
32050417,Packaged Liquor Licence,PREMIX KING ALFREDTON,1605 STURT STREET,BALLARAT,3350,PO BOX 1584,BAKERY HILL,3354,BALLARAT CITY COUNCIL,SNOWDUCK PTY LTD,
32050441,Packaged Liquor Licence,BWS - BEER- WINE- SPIRITS,SHOP 1 SHEPPARTON EAST SHOPPING CENTRE,SHEPPARTON EAST,3631,ATTENTION: KAY ATTARD PO BOX 8000,BAULKHAM HILLS NSW,2153,GREATER SHEPPARTON CITY COUNCIL,WOOLWORTHS LIMITED,
32050506,Packaged Liquor Licence,PAYNESVILLE COMMUNITY FOODWORKS,71 THE ESPLANADE,PAYNESVILLE,3880,1/1399 HIGH STREET ROAD,WANTIRNA SOUTH,3152,EAST GIPPSLAND SHIRE COUNCIL,B & M BROTHERS AUSTRALIA PTY LTD,
32050514,Packaged Liquor Licence,HAVEN GENERAL STORE,HAMILTON ROAD,HORSHAM,3402,HAMILTON ROAD,HORSHAM,3402,HORSHAM RURAL CITY COUNCIL,DONNA MAREE MCFARLANE,
32050548,Packaged Liquor Licence,I.G.A. EVERYDAY RUTHERGLEN,87-95 MAIN STREET,RUTHERGLEN,3685,87-95 MAIN STREET,RUTHERGLEN,3685,INDIGO SHIRE COUNCIL,KAYOTIC PTY LTD,
32050556,Packaged Liquor Licence,ADAMS FOODWORKS,15 MONTGOMERY STREET,SKIPTON,3361,P O BOX 62,SKIPTON,3361,CORANGAMITE SHIRE COUNCIL,BERYL JOAN ADAMS,
32050572,Packaged Liquor Licence,WINCHELSEA SUPERMARKET,29 MAIN STREET,WINCHELSEA,3241,29 MAIN STREET,WINCHELSEA,3241,SURF COAST SHIRE COUNCIL,KAMPS INTERNATIONAL PTY LTD,
32050637,Packaged Liquor Licence,ROBIN AVENUE FOODSTORE,68 ROBIN AVENUE,NORLANE,3214,12 KNOLLBROOK CLOSE,HIGHTON,3216,GREATER GEELONG CITY COUNCIL,LONG SILVER PTY LTD,
32050661,Packaged Liquor Licence,COPPERFIELD CELLARS,SHOP 3 350 TAYLORS ROAD,DELAHEY,3037,SHOP 3 350 TAYLORS ROAD,DELAHEY,3037,MOORABOOL SHIRE COUNCIL,HUE THI TRAN,
32050750,Packaged Liquor Licence,MICHAEL'S IGA SUPERMARKET,UNITS 4-9- 3 STH RAILWAY CRESCENT,KORUMBURRA,3950,PO BOX 143,MENTONE,3194,SOUTH GIPPSLAND SHIRE COUNCIL,AEROTEN PTY LTD,
32050776,Packaged Liquor Licence,CHAMPIONS IGA PLUS LIQUOR,30-36 BROOKE STREET,INGLEWOOD,3517,C/O BMS RETAIL GROUP PTY LTD 3 WOOD STREET,LONG GULLY,3550,LODDON SHIRE COUNCIL,INGLEWOOD SUPERMARKET PTY LTD,
32050831,Packaged Liquor Licence,LABUAN SUPERMARKET,18-20 LABUAN SQUARE,NORLANE,3214,18-20 LABUAN SQUARE,NORLANE,3214,GREATER GEELONG CITY COUNCIL,ZHENGHONG AUSTRALIA PTY LTD,
32050849,Packaged Liquor Licence,LIQUORLAND,CNR BRIDPORT & ALBERT STREETS,DAYLESFORD,3460,PO BOX 2000,GLEN IRIS,3146,HEPBURN SHIRE COUNCIL,LIQUORLAND (AUSTRALIA) PTY LTD,
32050865,Packaged Liquor Licence,IGA EVERYDAY OUYEN,64-74 OKE STREET,OUYEN,3490,64-74 OKE STREET,OUYEN,3490,MILDURA RURAL CITY COUNCIL,ELXA PTY LTD,
32050881,Packaged Liquor Licence,,28 HIGH STREET,TRENTHAM,3458,28 HIGH STREET,TRENTHAM,3458,MOORABOOL SHIRE COUNCIL,GRENVILLE TRADING PTY LTD,
32050899,Packaged Liquor Licence,TOORA SUPERMARKET,66 STANLEY STREET,TOORA,3962,66 STANLEY STREET,TOORA,3962,SOUTH GIPPSLAND SHIRE COUNCIL,NARAYAN PTY LTD,
32050954,Packaged Liquor Licence,DAN MURPHY'S,428-452 WYNDHAM STREET,SHEPPARTON,3630,ATTENTION: KAY ATTARD PO BOX 8000,BAULKHAM HILLS NSW,2153,GREATER SHEPPARTON CITY COUNCIL,WOOLWORTHS LIMITED,
32051031,Packaged Liquor Licence,TORMEY'S IGA EVERYDAY SUPERMARKET,28 HIGH STREET,CHARLTON,3525,28 HIGH STREET,CHARLTON,3525,BULOKE SHIRE COUNCIL,J.B & A.L. TORMEY PTY LTD,
32051081,Packaged Liquor Licence,STREATHAM GENERAL STORE,28 CAMPBELL STREET,STREATHAM,3351,PO BOX 6,STREATHAM,3351,GOLDEN PLAINS SHIRE COUNCIL,BRUCE JOHN MCKENNA,
32051099,Packaged Liquor Licence,MARYSVILLE NEWSAGENCY & GENERAL STORE,49 DARWIN STREET,MARYSVILLE,3779,102 GRANT STREET,ALEXANDRA,3714,MURRINDINDI SHIRE COUNCIL,MCROB PTY LTD,
32051104,Packaged Liquor Licence,ROSS CREEK GENERAL STORE,649 SEBASTAPOL-SMYTHESDALE ROAD,ROSS CREEK,3551,429 SPRATLINGS ROAD,ROSS CREEK,3351,GREATER BENDIGO CITY COUNCIL,ROSS CREEK GENERAL STORE PTY LTD,
32051112,Packaged Liquor Licence,KOONOOMOO GENERAL STORE,RMB 1501 GOULBURN VALLEY HIGHWAY,KOONOOMOO,3644,RMB 1501 7043 GOULBURN VALLEY HIGHWAY,KOONOOMOO,3644,MOIRA SHIRE COUNCIL,BRETT LEONARD MERRITT,
32051188,Packaged Liquor Licence,ROSEDALE SUPERMARKET,17-19 PRINCE ST,ROSEDALE,3847,17-19 PRINCE STREET,ROSEDALE,3847,WELLINGTON SHIRE COUNCIL,C.U.K. TRADING PTY  LTD,
32051405,Packaged Liquor Licence,DUNOLLY FRIENDLY GROCER,93 BROADWAY,DUNOLLY,3472,32 HART STREET,AIRPORT WEST,3042,CENTRAL GOLDFIELDS SHIRE COUNCIL,JIN DE CHEN,
32051455,Packaged Liquor Licence,THE WILLOW GROVE GENERAL STORE,6-8 MAIN ROAD,WILLOW GROVE,3825,6-8 MAIN ROAD,WILLOW GROVE,3825,LATROBE CITY COUNCIL,MICHELLE DIANE LODGE,
32051497,Packaged Liquor Licence,TIM'S TAKEAWAY,121B SAN MATEO AVENUE,MILDURA,3500,PO BOX 357CP,MILDURA CENTRE PLAZA,3501,MILDURA RURAL CITY COUNCIL,DLWG PTY LTD,
32051510,Packaged Liquor Licence,PHEASANT CREEK LICENSED SUPERMARKET,LOT 58C MAIN ROAD,PHEASANT CREEK,3757,HARRY KHOURY 60 LYNNWOOD PDE,LOWER TEMPLESTOWE,3107,MURRINDINDI SHIRE COUNCIL,HABIB KHOURY,
32051594,Packaged Liquor Licence,BWS LIQUOR,CNR MURRAY VALLEY HWY & BELMORE ST,YARRAWONGA,3730,ATTENTION: KAY ATTARD PO BOX 8000,BAULKHAM HILLS NSW,2153,MOIRA SHIRE COUNCIL,WOOLWORTHS LIMITED,
32051722,Packaged Liquor Licence,ST LEONARDS IGA PLUS LIQUOR,1364-1372 MURRADOC ROAD,ST LEONARDS,3223,PO BOX 177,OCEAN GROVE,3226,GREATER GEELONG CITY COUNCIL,POINT LONSDALE SUPERMARKET PTY LTD,
32051730,Packaged Liquor Licence,MALDON IGA EVERYDAY SUPERMARKET,11-17 MAIN STREET,MALDON,3463,11-17 MAIN STREET,MALDON,3463,MOUNT ALEXANDER SHIRE COUNCIL,JIAN YU,
32051772,Packaged Liquor Licence,WEDDERBURN NEWSAGENCY & GENERAL STORE,62-64 HIGH STREET,WEDDERBURN,3518,1508 CALDER HIGHWAY,WOOSANG,3518,LODDON SHIRE COUNCIL,GOORARI PTY LTD,
32051887,Packaged Liquor Licence,DIANNE AND DANNY'S BEECHWORTH FOODSTORE,22 JUNCTION ROAD,BEECHWORTH,3747,LINDA DINGWALL 36 ROSELAND CRESCENT,HOPPERS CROSSING,3029,INDIGO SHIRE COUNCIL,JOHN DANIEL BROWN,
32051918,Packaged Liquor Licence,RADCLIFFES IGA SUPERMARKET,60A VICTORIA STREET,KERANG,3579,PO BOX 11,MERBEIN,3505,GANNAWARRA SHIRE COUNCIL,FISHERS SUPERMARKETS PTY LTD,
32051968,Packaged Liquor Licence,FOSTER FOODWORKS,58 MAIN STREET,FOSTER,3960,58 MAIN STREET,FOSTER,3960,SOUTH GIPPSLAND SHIRE COUNCIL,SUPERMARKET 10 PTY LTD,
32051984,Packaged Liquor Licence,CHAMPIONS SUPA IGA,20 STATION STREET,KANGAROO FLAT,3555,3 WOOD STREET,LONG GULLY,3550,GREATER BENDIGO CITY COUNCIL,KANGAROO FLAT SUPERMARKET PTY LTD,
32051992,Packaged Liquor Licence,L.J & L.E MTCHELL,72-76 RAILWAY PLACE,ELMORE,3558,82 RAILWAY PLACE,ELMORE,3558,GREATER BENDIGO CITY COUNCIL,LANCE JARED MITCHELL,
